elmis_title,amharic,sector,sub_sector,professional_formal,stage1_best_score,stage1_best_label,stage1_best_uri,stage2_decision,stage2_selected_index,stage2_selected_label,stage2_selected_uri,stage2_selected_isco4,stage2_confidence,stage2_rationale,llm_provider,llm_model,raw_response
Team Leader – Operations and Client Care,የቡድን መሪ - ኦፕሬሽኖች እና የደንበኛ እንክብካቤ,Service,Other services,P,0.7761,quick service restaurant team leader,http://data.europa.eu/esco/occupation/4a1125ee-5728-4b1f-b655-7b8eb2e27660,match,5.0,service manager,http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,1349,medium,Candidate 5 (Service Manager) best encompasses both the 'Operations' (provision of services) and 'Client Care' (client interaction/satisfaction) aspects of the ELMIS title.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""medium"", ""rationale"": ""Candidate 5 (Service Manager) best encompasses both the 'Operations' (provision of services) and 'Client Care' (client interaction/satisfaction) aspects of the ELMIS title.""}"
Team Leader - Production,የቡድን መሪ - ምርት,Manufacturing,Another unmentioned factory works,,0.8316,fruit production team leader,http://data.europa.eu/esco/occupation/5aeaea2f-6585-4d3d-8f3e-1fdd9903aa32,match,3.0,production supervisor,http://data.europa.eu/esco/occupation/40517ed4-2769-4283-a15b-4b0d939bd2d3,3122,high,The candidate 'production supervisor' aligns perfectly with the ELMIS title's seniority level and the specified manufacturing sector.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""The candidate 'production supervisor' aligns perfectly with the ELMIS title's seniority level and the specified manufacturing sector.""}"
Team Leader Mobile and Internet Banking Service,የቡድን መሪ የሞባይል እና የበይነመረብ ባንክ አገልግሎት,ICT and digital work,Software Design Development and Implementation Works,P,0.7592,bank account manager,http://data.europa.eu/esco/occupation/5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6,match,4.0,bank manager,http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce,1346,medium,Candidate 4 is the only management-level role provided that aligns with the banking domain and describes the oversight of specific bank activities and staff.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""medium"", ""rationale"": ""Candidate 4 is the only management-level role provided that aligns with the banking domain and describes the oversight of specific bank activities and staff.""}"
Team Leader- Mobile Health and Nutrition Team,የቡድን መሪ - የሞባይል ጤና እና የአመጋገብ ቡድን,Health,Health,P,0.7805,quick service restaurant team leader,http://data.europa.eu/esco/occupation/4a1125ee-5728-4b1f-b655-7b8eb2e27660,no_match,,,,,high,"None of the candidates represent a team leadership role within the health or mobile nutrition outreach sectors; candidates 1 and 2 are in wrong sectors, and 3 and 4 lack leadership and mobile health context.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent a team leadership role within the health or mobile nutrition outreach sectors; candidates 1 and 2 are in wrong sectors, and 3 and 4 lack leadership and mobile health context.""}"
Team Leader Payment and System Administrator,የቡድን መሪ ክፍያ እና የስርዓት አስተዳዳሪ,ICT and digital work,Software Design Development and Implementation Works,P,0.7499,membership administrator,http://data.europa.eu/esco/occupation/0a3c2d5b-e1f9-4200-9288-62bf3fed3310,match,4.0,ICT system administrator,http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,2522,high,"The ICT system administrator candidate directly matches the technical core and domain of the ELMIS title, including the supervisory aspect mentioned in the ESCO description.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""The ICT system administrator candidate directly matches the technical core and domain of the ELMIS title, including the supervisory aspect mentioned in the ESCO description.""}"
Team Leader Stock,የቡድን መሪ አክሲዮን,Business,Wholesale business in specialized stores,P,0.7917,stock trader,http://data.europa.eu/esco/occupation/3b6d4443-4518-4fb3-ae44-188a958e328d,no_match,,,,,high,"The candidates refer to financial securities or specialized production, while the ELMIS title in a wholesale sector context refers to inventory management.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The candidates refer to financial securities or specialized production, while the ELMIS title in a wholesale sector context refers to inventory management.""}"
Team Leader -Subgrant Management,የቡድን መሪ -የሱብግራንት አስተዳደር,Service,Finance and Administration Services,P,0.7532,fruit production team leader,http://data.europa.eu/esco/occupation/5aeaea2f-6585-4d3d-8f3e-1fdd9903aa32,no_match,,,,,high,"None of the candidate occupations relate to finance, administration, or grant management, focusing instead on agriculture and hospitality.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations relate to finance, administration, or grant management, focusing instead on agriculture and hospitality.""}"
"Team Leader, Agent and Merchant Development Officer","የቡድን መሪ, ወኪል እና የነጋዴ ልማት ኦፊሰር",Service,Business Promotion Service,P,0.8137,trade development officer,http://data.europa.eu/esco/occupation/c418ed9a-132f-48cd-ae5c-dd375070ee0e,match,1.0,trade development officer,http://data.europa.eu/esco/occupation/c418ed9a-132f-48cd-ae5c-dd375070ee0e,2422,medium,"The role involves developing merchant and agent networks to promote business, which aligns with the trade development officer's focus on establishing business operations and promoting trade.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The role involves developing merchant and agent networks to promote business, which aligns with the trade development officer's focus on establishing business operations and promoting trade.""}"
"Team Leader, Card Banking","የቡድን መሪ, የካርድ ባንኪንግ",Service,Finance and Administration Services,P,0.8225,bank manager,http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce,match,1.0,bank manager,http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce,1346,high,A Team Leader in Card Banking fits the ESCO description of a bank manager who oversees specific bank activities and manages employees.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""A Team Leader in Card Banking fits the ESCO description of a bank manager who oversees specific bank activities and manages employees.""}"
"Team Leader, Credit Risk","የቡድን መሪ, የብድር ስጋት",Service,Finance and Administration Services,P,0.7934,credit risk analyst,http://data.europa.eu/esco/occupation/b3ce981c-5b32-4de2-8e53-502a6357b2bc,match,2.0,credit manager,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae,3312,high,The 'Team Leader' seniority level and 'Credit Risk' domain align most closely with the 'credit manager' role which includes managing a credit department and overseeing risk policies.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The 'Team Leader' seniority level and 'Credit Risk' domain align most closely with the 'credit manager' role which includes managing a credit department and overseeing risk policies.""}"
"Team Leader, Dispute and Fraud Monitoring Officer","የቡድን መሪ, ክርክር እና ማጭበርበር ክትትል ኦፊሰር",Service,Security Service,P,0.7921,insurance fraud investigator,http://data.europa.eu/esco/occupation/a2b81132-2147-4c8e-b250-e6290ed906ea,match,2.0,financial fraud examiner,http://data.europa.eu/esco/occupation/a04eedcf-8424-475a-8dc5-f30a9da4b151,2411,medium,"The candidate aligns with the professional level (Class P) and the core responsibilities of fraud investigation and risk assessment, effectively matching the 'Fraud Monitoring Officer' aspect of the ELMIS title.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""The candidate aligns with the professional level (Class P) and the core responsibilities of fraud investigation and risk assessment, effectively matching the 'Fraud Monitoring Officer' aspect of the ELMIS title.""}"
"Team Leader, Marketing","የቡድን መሪ, ግብይት",Service,Advertising,P,0.8404,marketing manager,http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,match,1.0,marketing manager,http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,1221,high,"The role of a marketing team leader is synonymous with a marketing manager in terms of supervising operations, strategy, and personnel within the advertising sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The role of a marketing team leader is synonymous with a marketing manager in terms of supervising operations, strategy, and personnel within the advertising sector.""}"
"Team Leader, Mechanical Workshop","የቡድን መሪ, ሜካኒካል አውደ ጥናት",Service,Motor vehicle repair work,P,0.8069,head of workshop,http://data.europa.eu/esco/occupation/7d27600b-5cff-4ebc-b259-cc2d47572035,no_match,,,,,high,"None of the candidates align with a supervisor role in the motor vehicle repair sector; the available supervisor options are specific to artistic production, machinery assembly, or precision mechanics.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates align with a supervisor role in the motor vehicle repair sector; the available supervisor options are specific to artistic production, machinery assembly, or precision mechanics.""}"
Tech Host,የቴክኖሎጂ አስተናጋጅ,ICT and digital work,Tele Center Service,P,0.7854,technical communicator,http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c,match,4.0,ICT technician,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,3512,medium,"An ICT technician provides the hardware, software, and user support necessary for a Tele Center Service, which aligns with the role of a Tech Host in that context.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""medium"", ""rationale"": ""An ICT technician provides the hardware, software, and user support necessary for a Tele Center Service, which aligns with the role of a Tech Host in that context.""}"
Tech Lead,የቴክኖሎጂ መሪ,ICT and digital work,Software Design Development and Implementation Works,P,0.7925,technical director,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,match,3.0,chief technology officer,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,1330,medium,"Candidate 3 is the only professional leadership role within the ICT sector, matching the seniority and domain better than technician or arts-related roles.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""Candidate 3 is the only professional leadership role within the ICT sector, matching the seniority and domain better than technician or arts-related roles.""}"
Tech Support,የቴክኖሎጂ ድጋፍ,ICT and digital work,Computer network design deployment and implementation tasks,P,0.8148,computer hardware repair technician,http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972,match,3.0,ICT technician,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,3512,high,"ICT technician (Candidate 3) is the most comprehensive match for the 'Tech Support' role, covering the installation, maintenance, and operation of systems, networks, and software.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""ICT technician (Candidate 3) is the most comprehensive match for the 'Tech Support' role, covering the installation, maintenance, and operation of systems, networks, and software.""}"
Tech Support lead,የቴክኖሎጂ ድጋፍ መሪ,ICT and digital work,Computer network design deployment and implementation tasks,P,0.7493,assistive technologist,http://data.europa.eu/esco/occupation/4e82464b-e9d7-4d51-9116-294ab40c5169,match,3.0,ICT technician,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,3512,medium,"Candidate 3 is the only option that correctly aligns with the ICT domain and the technical support tasks described, despite the ELMIS title's higher seniority label.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""Candidate 3 is the only option that correctly aligns with the ICT domain and the technical support tasks described, despite the ELMIS title's higher seniority label.""}"
TechFin Lead,TechFin መሪ,ICT and digital work,Software Design Development and Implementation Works,P,0.7524,technical director,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,match,2.0,chief technology officer,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,1330,high,"The ELMIS 'TechFin Lead' is a senior leadership role in the ICT sector, which aligns perfectly with the responsibilities and seniority of a Chief Technology Officer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The ELMIS 'TechFin Lead' is a senior leadership role in the ICT sector, which aligns perfectly with the responsibilities and seniority of a Chief Technology Officer.""}"
Technic Division Head,የቴክኒክ ክፍል ኃላፊ,Service,General maintenance,P,0.7352,chief technology officer,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,no_match,,,,,high,"None of the candidates match the domain of general maintenance; the provided options are specific to ICT, arts, maritime, nuclear science, or academia.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates match the domain of general maintenance; the provided options are specific to ICT, arts, maritime, nuclear science, or academia.""}"
Technic Head,ቴክኒክ ኃላፊ,Service,General maintenance,P,0.7501,head of workshop,http://data.europa.eu/esco/occupation/7d27600b-5cff-4ebc-b259-cc2d47572035,no_match,,,,,high,None of the candidates align with a general maintenance department head; the closest match (head of workshop) is specifically restricted to artistic and stage production.,gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates align with a general maintenance department head; the closest match (head of workshop) is specifically restricted to artistic and stage production.""}"
Technical Advisor – Commodity Management Risk and Compliance Data Analyst,የቴክኒክ አማካሪ - የሸቀጦች አስተዳደር ስጋት እና ተገዢነት ውሂብ ተንታኝ,Service,Quality Management Consulting Service,P,0.7854,commodity trader,http://data.europa.eu/esco/occupation/e4cdfa86-c3b1-41f1-a4e2-384c73d03bd3,match,5.0,financial risk manager,http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea,2412,medium,"The candidate aligns with the core functions of the ELMIS title, encompassing risk assessment, regulatory compliance, statistical data analysis, and advisory duties.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""medium"", ""rationale"": ""The candidate aligns with the core functions of the ELMIS title, encompassing risk assessment, regulatory compliance, statistical data analysis, and advisory duties.""}"
Technical Advisor & Inspector for Production Plant,የምርት ፋብሪካ የቴክኒክ አማካሪ እና ተቆጣጣሪ,Manufacturing,Another unmentioned factory works,P,0.8252,agricultural inspector,http://data.europa.eu/esco/occupation/715b902f-b1b6-4366-afc6-ddb8ab715229,no_match,,,,,high,"None of the candidates represent a general manufacturing or production plant inspector; they are specific to agriculture, construction, waste management, or electrical product testing.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent a general manufacturing or production plant inspector; they are specific to agriculture, construction, waste management, or electrical product testing.""}"
Technical Advisor I - Climate,የቴክኒክ አማካሪ I - የአየር ንብረት,Service,Consulting around natural science,P,0.8042,environmental expert,http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510,match,1.0,environmental expert,http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510,2143,medium,Candidate 1 (environmental expert) is the most semantically similar professional-level match for a technical advisor role in the environmental and climate domain.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""Candidate 1 (environmental expert) is the most semantically similar professional-level match for a technical advisor role in the environmental and climate domain.""}"
Technical Advisor I – Nutrition,የቴክኒክ አማካሪ I - የተመጣጠነ ምግብ,Health,Health,P,0.8463,food regulatory advisor,http://data.europa.eu/esco/occupation/c872187a-079b-413b-8503-7b5dd92abb88,match,3.0,prepared meals nutritionist,http://data.europa.eu/esco/occupation/c37d0026-989b-4705-9bcb-30cccd8308fa,2265,medium,"Candidate 3 is the only professional-level (ISCO 2265) nutritionist role among the options, which aligns with the ELMIS 'P' classification and the health sector focus.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""Candidate 3 is the only professional-level (ISCO 2265) nutritionist role among the options, which aligns with the ELMIS 'P' classification and the health sector focus.""}"
Technical Advisor I - Private Sector Engagement (PSE) and Business Growth,የቴክኒክ አማካሪ I - የግል ዘርፍ ተሳትፎ (PSE) እና የንግድ እድገት,Service,Business Promotion Service,P,0.7519,economic adviser,http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,match,1.0,economic adviser,http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,2631,medium,"The economic adviser role encompasses advising organizations on techniques to gain profit and trade, which aligns with the objectives of private sector engagement and business growth.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The economic adviser role encompasses advising organizations on techniques to gain profit and trade, which aligns with the objectives of private sector engagement and business growth.""}"
"Technical Advisor I – Research, Learning & Adapting",የቴክኒክ አማካሪ I - ምርምር፣ መማር እና ማላመድ,Service,Research and experimental development work in engineering and technology,P,0.7877,career guidance advisor,http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e,no_match,,,,,high,"None of the candidates accurately reflect the 'Research, Learning & Adapting' (RLA) professional role; candidates are either domain-specific (ICT, finance, or career counseling) or at a different seniority level (manager).",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates accurately reflect the 'Research, Learning & Adapting' (RLA) professional role; candidates are either domain-specific (ICT, finance, or career counseling) or at a different seniority level (manager).""}"
Technical Advisor I – Youth Engagement,የቴክኒክ አማካሪ I - የወጣቶች ተሳትፎ,Service,Social work services,P,0.7757,youth information worker,http://data.europa.eu/esco/occupation/094e04fd-3039-4615-850b-b232794f84f5,match,5.0,youth worker,http://data.europa.eu/esco/occupation/b7507136-e71e-47e8-b873-e77d5cdf2922,2635,high,Youth worker is the most appropriate professional match for a technical advisor role focused on youth engagement within social work services.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""high"", ""rationale"": ""Youth worker is the most appropriate professional match for a technical advisor role focused on youth engagement within social work services.""}"
"Technical Advisor II - Gender, Protection & Safeguarding",የቴክኒክ አማካሪ II - ጾታ፣ ጥበቃ እና ጥበቃ,Service,Social work services,P,0.7473,consumer rights advisor,http://data.europa.eu/esco/occupation/cb60beab-7afb-4e99-8162-221abea68e6d,no_match,,,,,high,"None of the candidates relate to social work, gender issues, or humanitarian safeguarding; they are all focused on IT security, consumer rights, or logistics.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates relate to social work, gender issues, or humanitarian safeguarding; they are all focused on IT security, consumer rights, or logistics.""}"
Technical Advisor II - Seed Systems Specialist,የቴክኒክ አማካሪ II - የዘር ስርዓቶች ስፔሻሊስት,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds",P,0.7518,crop production manager,http://data.europa.eu/esco/occupation/1b5ccfe7-1cc3-4f02-974c-f852d3faf57e,no_match,,,,,high,"None of the candidate occupations match the professional advisory role of a Seed Systems Specialist; the candidates focus on distribution management, general crop production, or food technology rather than agricultural science and technical advisory.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations match the professional advisory role of a Seed Systems Specialist; the candidates focus on distribution management, general crop production, or food technology rather than agricultural science and technical advisory.""}"
"Technical Advisor II – Technical Director and Policy Lead, Ethiopia Seed Activity","የቴክኒክ አማካሪ II - የቴክኒክ ዳይሬክተር እና የፖሊሲ መሪ, የኢትዮጵያ ዘር እንቅስቃሴ",agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds",P,0.7344,agricultural policy officer,http://data.europa.eu/esco/occupation/98f17395-0f8c-4f51-9072-cb8f66fd6044,match,1.0,agricultural policy officer,http://data.europa.eu/esco/occupation/98f17395-0f8c-4f51-9072-cb8f66fd6044,2422,high,"The ELMIS title specifically mentions 'Policy Lead' within the agricultural seed sector, which aligns perfectly with the duties of an agricultural policy officer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title specifically mentions 'Policy Lead' within the agricultural seed sector, which aligns perfectly with the duties of an agricultural policy officer.""}"
Technical Advisor to CEO & DCEO,ለዋና ሥራ አስፈፃሚ እና ለዲሲኦ የቴክኒክ አማካሪ,Service,Consulting service around social science,P,0.806,chief executive officer,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,match,4.0,economic adviser,http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,2631,medium,"In the context of social science consulting, a 'Technical Advisor' to leadership likely provides subject-matter expertise in fields like economics, making this the most domain-appropriate match.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""medium"", ""rationale"": ""In the context of social science consulting, a 'Technical Advisor' to leadership likely provides subject-matter expertise in fields like economics, making this the most domain-appropriate match.""}"
"Technical Advisor, Epidemic Ready Primary Health Care",የቴክኒክ አማካሪ፣ ወረርሽኝ ዝግጁ የሆነ የመጀመሪያ ደረጃ የጤና እንክብካቤ,Health,Health,P,0.7793,healthcare consultant,http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3,match,1.0,healthcare consultant,http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3,2422,high,"The role of a Technical Advisor for Primary Health Care systems aligns closely with a healthcare consultant who advises on plans to improve patient care, safety, and organizational strategies.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The role of a Technical Advisor for Primary Health Care systems aligns closely with a healthcare consultant who advises on plans to improve patient care, safety, and organizational strategies.""}"
"Technical Advisor, LSS -Consultant","የቴክኒክ አማካሪ, LSS -አማካሪ",Service,Consulting service around social science,P,0.828,business consultant,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,match,5.0,consultant social worker,http://data.europa.eu/esco/occupation/186ef31e-f26f-4320-a307-c5f95d6cb284,2635,high,The sub-sector 'Consulting service around social science' aligns specifically with the responsibilities and domain of a consultant social worker.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""high"", ""rationale"": ""The sub-sector 'Consulting service around social science' aligns specifically with the responsibilities and domain of a consultant social worker.""}"
"Technical Advisor, RSS -Consultant","የቴክኒክ አማካሪ, RSS -አማካሪ",Service,Consulting service around social science,P,0.8038,ICT consultant,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,match,3.0,consultant social worker,http://data.europa.eu/esco/occupation/186ef31e-f26f-4320-a307-c5f95d6cb284,2635,high,"The sub-sector explicitly identifies this as consulting in social science, which directly matches the consultant social worker category over ICT or business options.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""The sub-sector explicitly identifies this as consulting in social science, which directly matches the consultant social worker category over ICT or business options.""}"
Technical and Maintenance Section Head,የቴክኒክ እና የጥገና ክፍል ኃላፊ,Service,General maintenance,P,0.7912,maintenance and repair engineer,http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,match,2.0,industrial maintenance supervisor,http://data.europa.eu/esco/occupation/a9b20949-897b-481f-8642-d1f69263baff,3115,high,"The ELMIS 'Section Head' title denotes a leadership role in maintenance operations, which aligns perfectly with the supervisory and organizational duties described in the industrial maintenance supervisor profile.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The ELMIS 'Section Head' title denotes a leadership role in maintenance operations, which aligns perfectly with the supervisory and organizational duties described in the industrial maintenance supervisor profile.""}"
Technical assistance,የቴክኒክ እርዳታ,Service,Other services,P,0.8461,assistive technologist,http://data.europa.eu/esco/occupation/4e82464b-e9d7-4d51-9116-294ab40c5169,no_match,,,,,medium,"The ELMIS title 'Technical assistance' is a broad functional role or service category that does not specifically align with any of the specialized candidates provided, such as ICT support, sales, or disability assistance.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Technical assistance' is a broad functional role or service category that does not specifically align with any of the specialized candidates provided, such as ICT support, sales, or disability assistance.""}"
Technical Assistance for Co-facilitation of Advocacy Training of Trainers (ToT) workshop and Advocacy Strategy for NPI EXPAND Grantees in Ethiopia,ቴክኒካል እገዛ የአሰልጣኞች የጥብቅና ማስተባበያ ስልጠና (ቶቲ) አውደ ጥናት እና የጥብቅና ስትራቴጂ ለ NPI EXPAND ለጋሾች በኢትዮጵያ,Service,Consulting service around social science,P,0.7199,ICT trainer,http://data.europa.eu/esco/occupation/9e657046-67ce-4e16-ab2e-ddb918638910,match,2.0,corporate trainer,http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e,2424,medium,"The ELMIS title focuses on facilitating a Training of Trainers (ToT) workshop, which aligns with the core functions of a training and development professional like the corporate trainer candidate.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title focuses on facilitating a Training of Trainers (ToT) workshop, which aligns with the core functions of a training and development professional like the corporate trainer candidate.""}"
"Technical Assistance Manager, Innovative Finance",የቴክኒክ ድጋፍ ሥራ አስኪያጅ ፣ ፈጠራ ፋይናንስ,Service,Finance and Administration Services,P,0.8317,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,match,1.0,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,1211,medium,The candidate 'financial manager' is the most appropriate managerial-level match within the financial sub-sector for an individual overseeing financial operations and technical assistance programs.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The candidate 'financial manager' is the most appropriate managerial-level match within the financial sub-sector for an individual overseeing financial operations and technical assistance programs.""}"
Technical Assistant: System recovery and resilience,ቴክኒካል ረዳት፡ የስርዓት መልሶ ማግኛ እና ማገገም,ICT and digital work,Software Design Development and Implementation Works,P,0.8029,ICT resilience manager,http://data.europa.eu/esco/occupation/a99b38bc-6e71-4bef-b127-0f2b5e357815,match,2.0,ICT disaster recovery analyst,http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,2519,high,"The candidate 'ICT disaster recovery analyst' aligns perfectly with the functional focus on system recovery and resilience within the ICT sector, and the 'Analyst' level is a suitable match for a professional-class technical assistant.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The candidate 'ICT disaster recovery analyst' aligns perfectly with the functional focus on system recovery and resilience within the ICT sector, and the 'Analyst' level is a suitable match for a professional-class technical assistant.""}"
Technical cofounder,የቴክኒክ መስራች,ICT and digital work,Software Design Development and Implementation Works,U,0.7843,technical communicator,http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c,match,3.0,chief technology officer,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,1330,high,A technical cofounder in the ICT sector performs the same leadership and strategic technology development duties as a Chief Technology Officer.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""A technical cofounder in the ICT sector performs the same leadership and strategic technology development duties as a Chief Technology Officer.""}"
